radio_id,hogares_con_nbi,hogares_sin_nbi,hogares_nbi_hac,hogares_nbi_viv,hogares_nbi_san,hogares_nbi_esc,hogares_nbi_sub,hogares_totales,prop_con_nbi
63573304,1,211,0,1,0,0,0,212,0.0047169811320754715
63573305,1,303,0,1,0,0,0,304,0.003289473684210526
63573306,1,300,0,1,0,0,0,301,0.0033222591362126247
63573307,1,99,1,0,0,0,0,100,0.01
63573308,2,239,0,1,0,1,0,241,0.008298755186721992
63573309,1,291,0,1,0,0,0,292,0.003424657534246575
63573310,1,213,0,0,0,1,0,214,0.004672897196261682
63573311,4,262,0,3,1,0,0,266,0.015037593984962405
63573312,1,164,0,1,0,0,0,165,0.006060606060606061
63573313,2,138,0,2,0,0,0,140,0.014285714285714285
63573314,2,213,2,0,0,0,0,215,0.009302325581395349
63573315,0,89,0,0,0,0,0,89,0.0
63573401,4,232,1,1,0,2,0,236,0.01694915254237288
63573402,4,238,1,3,0,0,0,242,0.01652892561983471
63573403,0,192,0,0,0,0,0,192,0.0
63573404,6,444,1,6,0,0,0,450,0.013333333333333334
63573405,0,354,0,0,0,0,0,354,0.0
63573406,2,196,0,2,0,0,0,198,0.010101010101010102
63573407,7,246,3,2,1,1,2,253,0.02766798418972332
63573408,3,98,1,2,0,0,0,101,0.0297029702970297
63573501,5,320,2,2,0,1,0,325,0.015384615384615385
63573502,3,358,0,2,1,0,0,361,0.008310249307479225
63573503,0,241,0,0,0,0,0,241,0.0
63573504,2,275,0,2,0,0,0,277,0.007220216606498195
63573505,2,205,0,2,0,0,0,207,0.00966183574879227
63573506,2,244,0,1,0,1,0,246,0.008130081300813009
63573507,1,216,0,1,0,0,0,217,0.004608294930875576
63573508,3,326,1,1,0,1,0,329,0.00911854103343465
63573509,14,330,6,5,0,3,2,344,0.040697674418604654
63573510,3,160,0,3,0,0,0,163,0.018404907975460124
63573511,5,163,2,1,0,3,0,168,0.02976190476190476
63573512,2,121,0,2,0,0,0,123,0.016260162601626018
63573601,2,274,0,2,0,0,0,276,0.007246376811594203
63573602,12,276,4,6,0,4,0,288,0.041666666666666664
63573603,8,280,2,5,0,1,0,288,0.027777777777777776
63573604,11,350,5,4,0,2,0,361,0.030470914127423823
63573605,1,68,0,1,0,0,0,69,0.014492753623188406
63573701,2,151,0,2,0,0,0,153,0.013071895424836602
63573702,0,241,0,0,0,0,0,241,0.0
63573703,3,238,1,0,0,2,0,241,0.012448132780082987
63573704,2,156,1,1,0,0,0,158,0.012658227848101266
63573705,4,185,3,0,0,1,1,189,0.021164021164021163
63573706,3,312,1,1,1,0,0,315,0.009523809523809525
63573707,2,269,1,1,0,0,0,271,0.007380073800738007
63573708,3,173,1,0,0,2,0,176,0.017045454545454544
63573709,4,182,1,3,0,0,0,186,0.021505376344086023
63573801,9,276,6,0,1,4,1,285,0.031578947368421054
63573802,6,255,2,2,0,2,1,261,0.022988505747126436
63573803,7,308,3,4,0,0,0,315,0.022222222222222223
63573804,8,364,5,1,0,3,0,372,0.021505376344086023
63573901,3,271,2,0,1,0,0,274,0.010948905109489052
63573902,4,204,0,1,0,3,0,208,0.019230769230769232
63573903,3,245,0,2,0,1,0,248,0.012096774193548387
63573904,7,290,1,6,0,0,0,297,0.02356902356902357
63573905,4,190,0,1,0,3,0,194,0.020618556701030927
63573906,2,109,0,1,0,0,1,111,0.018018018018018018
63573907,2,224,0,1,0,1,0,226,0.008849557522123894
63573908,1,215,0,1,0,0,0,216,0.004629629629629629
63573909,7,112,1,6,0,0,0,119,0.058823529411764705
63574001,0,47,0,0,0,0,0,47,0.0
63574002,1,183,1,0,0,0,0,184,0.005434782608695652
63574003,2,199,2,0,0,0,0,201,0.009950248756218905
63574004,5,281,4,1,0,0,0,286,0.017482517482517484
63574005,2,326,1,0,0,1,0,328,0.006097560975609756
63574006,6,221,5,1,0,0,0,227,0.02643171806167401
63574007,6,370,3,3,0,0,0,376,0.015957446808510637
63574008,5,234,1,4,0,0,0,239,0.02092050209205021
63574101,7,105,6,0,0,4,0,112,0.0625
63574102,4,212,4,0,0,0,0,216,0.018518518518518517
63574103,8,347,6,1,0,3,0,355,0.022535211267605635
63574104,12,300,10,0,0,3,1,312,0.038461538461538464
63574105,10,289,6,2,0,3,0,299,0.033444816053511704
63574106,0,72,0,0,0,0,0,72,0.0
63574107,1,65,1,0,0,0,0,66,0.015151515151515152
63574108,0,114,0,0,0,0,0,114,0.0
63574201,1,214,1,1,0,0,0,215,0.004651162790697674
63574202,2,136,0,1,0,1,0,138,0.014492753623188406
63574203,3,129,0,3,0,0,0,132,0.022727272727272728
63574204,2,109,0,2,0,0,0,111,0.018018018018018018
63574205,11,190,5,4,0,2,0,201,0.05472636815920398
63574206,1,222,0,1,0,0,0,223,0.004484304932735426
63574207,1,127,0,1,0,0,0,128,0.0078125
63574301,1,123,0,1,0,0,0,124,0.008064516129032258
63574302,1,113,1,0,0,0,0,114,0.008771929824561403
63574303,2,183,1,1,0,0,0,185,0.010810810810810811
63574304,0,218,0,0,0,0,0,218,0.0
63574305,0,104,0,0,0,0,0,104,0.0
63574306,2,139,2,0,0,0,0,141,0.014184397163120567
63574307,1,192,0,1,0,0,0,193,0.0051813471502590676
63574308,1,66,0,1,0,0,0,67,0.014925373134328358
63574309,0,131,0,0,0,0,0,131,0.0
63574310,0,128,0,0,0,0,0,128,0.0
63574311,0,106,0,0,0,0,0,106,0.0
63574312,1,142,0,1,0,0,0,143,0.006993006993006993
63574401,1,263,0,1,0,0,0,264,0.003787878787878788
63574402,3,248,1,0,1,1,0,251,0.01195219123505976
63574403,5,261,0,2,2,1,0,266,0.018796992481203006
63574404,4,281,1,1,0,2,0,285,0.014035087719298246
63574405,3,285,2,1,0,0,0,288,0.010416666666666666
63574406,2,187,2,0,0,0,0,189,0.010582010582010581
63574407,3,211,0,2,0,1,0,214,0.014018691588785047
63574408,0,189,0,0,0,0,0,189,0.0
63574409,0,159,0,0,0,0,0,159,0.0
63574501,2,260,0,1,0,1,0,262,0.007633587786259542
63574502,1,149,1,0,0,0,0,150,0.006666666666666667
63574503,7,216,3,5,1,0,0,223,0.03139013452914798
63574504,4,184,0,3,0,0,1,188,0.02127659574468085
63574505,3,196,0,0,0,1,2,199,0.01507537688442211
63574506,1,195,1,0,0,0,0,196,0.00510204081632653
63574507,1,212,0,1,0,0,0,213,0.004694835680751174
63574508,0,194,0,0,0,0,0,194,0.0
63574509,2,230,0,0,0,2,0,232,0.008620689655172414
63574510,0,188,0,0,0,0,0,188,0.0
63574511,1,144,1,0,0,0,0,145,0.006896551724137931
63574512,0,200,0,0,0,0,0,200,0.0
63574601,1,217,1,0,0,0,0,218,0.0045871559633027525
63574602,0,175,0,0,0,0,0,175,0.0
63574603,7,332,3,3,1,1,0,339,0.02064896755162242
63574604,0,191,0,0,0,0,0,191,0.0
63574605,1,148,1,0,0,0,0,149,0.006711409395973154
63574606,7,298,2,7,0,0,0,305,0.022950819672131147
