"radio_id","hogares_nbi_hac","hogares_nbi_viv","hogares_nbi_san","hogares_nbi_esc","hogares_nbi_sub"
63577402,0,0,0,0,0
63577403,8,5,0,1,1
63577404,34,16,8,4,4
63577405,24,17,10,3,4
63577406,10,6,2,2,3
63577407,30,21,7,0,3
63577408,47,24,10,9,5
63577409,12,15,1,3,0
63577410,6,2,1,0,0
63577501,3,6,0,0,2
63577502,0,1,0,0,0
63577503,0,0,0,1,0
63577504,1,1,0,0,0
63577505,0,2,0,0,1
63577506,1,1,0,0,1
63577507,2,6,1,0,1
63577508,2,1,0,1,0
63577509,1,5,0,1,0
63577510,1,0,0,0,0
63577511,1,2,0,1,1
63577601,10,5,1,0,2
63577602,12,9,5,3,0
63577603,7,8,0,2,0
63577604,6,7,0,0,0
63577605,7,5,0,1,0
63577606,7,5,1,2,1
63577607,2,1,0,1,1
63577608,2,1,0,2,0
63577609,1,4,0,1,0
63577610,2,2,0,0,1
63577611,1,1,0,0,0
63577612,1,6,0,1,0
63577701,0,2,5,1,0
63577702,1,2,0,0,0
63577703,10,11,0,1,3
63577704,9,11,1,10,1
63577705,0,1,0,0,0
63577706,0,0,0,0,0
63577707,1,3,2,0,0
63577708,2,2,0,1,0
63577709,1,0,0,0,0
63577710,0,0,0,2,0
63577801,0,0,0,0,0
63577802,3,4,0,1,0
63577803,3,4,0,2,0
63577804,10,5,2,2,2
63577805,18,4,2,2,0
63577806,1,0,0,0,0
63577807,2,2,1,1,0
63577901,2,4,0,1,0
63577902,0,2,0,1,0
63577903,0,1,0,0,0
63577904,14,15,4,7,3
63577905,13,13,1,9,3
63577906,16,3,5,6,2
63577907,24,23,10,6,4
63577908,14,3,0,3,0
63577909,5,4,0,2,2
63577910,0,2,0,0,1
63577911,11,10,2,5,1
63577912,3,20,2,1,4
63578001,0,17,0,0,0
63578002,25,20,6,2,2
63578003,20,23,8,3,0
63578004,10,8,0,4,0
63578005,7,5,1,1,1
63578006,6,2,1,0,0
63578007,4,6,1,1,1
63578008,8,5,0,0,1
63578009,9,13,3,5,1
63578010,4,2,0,0,0
63578011,12,7,4,3,1
63578012,18,8,5,4,2
63578013,9,15,3,3,0
63578014,7,7,1,1,0
63578101,3,7,0,2,1
63578102,0,0,0,0,1
63578103,0,0,0,1,0
63578104,1,5,3,0,0
63578105,4,0,0,0,0
63578106,1,4,1,1,1
63578201,2,4,0,0,1
63578202,1,1,0,0,0
63578203,0,2,0,1,0
63578204,0,1,0,0,0
63578205,0,0,0,1,0
63578206,0,0,0,0,0
63578207,8,35,0,4,2
63578208,8,4,0,1,1
63578209,5,4,0,3,1
63578210,10,9,8,6,2
63578211,0,0,0,0,0
63578212,4,5,0,1,0
63578213,3,3,0,0,1
63578214,0,1,0,0,0
63578301,4,6,0,3,1
63578302,0,1,0,1,0
63578303,5,6,0,2,0
63578401,0,2,1,0,0
63578402,1,1,0,0,0
63578403,0,1,0,0,0
63578404,0,1,0,1,0
63578405,2,0,0,0,0
63578406,1,1,3,0,0
63578407,0,0,0,0,0
63578408,0,2,0,0,0
63578409,0,2,0,0,0
63578410,0,2,0,0,0
63578411,1,3,0,0,0
63578412,1,2,0,1,0
63578413,1,4,0,1,0
63578501,2,1,0,0,0
63578502,2,2,2,2,0
63578503,1,1,0,2,0
63578504,0,1,0,0,0
63578505,1,0,0,0,0
63578506,1,0,0,0,0
63578507,0,1,0,0,0
63578508,1,2,0,0,0
63578509,1,2,0,0,0
63578510,1,1,0,0,0
63578511,0,1,0,0,0
63578512,0,4,2,1,0
63578601,1,0,0,0,0
63578602,0,0,0,0,0
63578603,1,2,0,0,0
63578604,1,0,0,0,0
63578605,0,2,0,0,0
63578606,0,1,0,0,0
63578607,0,0,0,0,0
63578608,0,1,0,0,0
63578609,3,1,0,0,0
63578610,0,1,1,0,0
63578611,0,0,0,0,0
63578612,1,6,0,0,0
63578613,0,0,0,0,0
63578701,13,10,3,0,0
63578702,7,3,0,3,2
63578703,1,3,0,0,0
63578704,11,1,0,1,2
63578705,8,3,0,2,0
63578706,8,3,1,1,0
63578707,8,12,1,1,0
63578708,11,11,2,3,4
63578709,2,0,1,2,1
63578710,2,5,1,1,0
63578711,10,4,0,3,1
63578712,8,12,2,3,10
63578713,8,14,1,0,2
63578801,1,2,1,0,0
63578802,0,2,0,0,0
63578803,3,3,0,1,0
63578804,3,13,0,2,0
63578805,0,2,0,0,1
63578806,1,3,1,1,0
63578807,0,1,0,0,0
63578808,0,1,0,1,0
63578809,1,0,0,0,0
63578810,0,1,1,1,0
63578811,1,1,0,1,0
63578901,1,1,0,1,0
63578902,4,3,0,2,1
63578903,0,0,0,0,1
63578904,0,2,0,2,0
63578905,9,2,1,2,1
63578906,3,3,0,1,0
